instance_id,window_idx,N,K,topology,chain_strength,n_days,sharpe_annualised,max_drawdown,psr,dsr
equities_19270531_n10,0,10,3,pegasus,0.5,25,1.3262324763558313,-0.04315787025233476,0.656189578383493,0.5031557810004329
equities_19270531_n10,0,10,3,pegasus,1.0,25,1.3262324763558313,-0.04315787025233476,0.656189578383493,0.5031557810004329
equities_19270531_n10,0,10,3,pegasus,2.0,25,1.3262324763558313,-0.04315787025233476,0.656189578383493,0.5031557810004329
equities_19270531_n10,0,10,3,zephyr,0.5,25,1.2514975437649194,-0.04080396152658678,0.6478010480183254,0.494117345963368
equities_19270531_n10,0,10,3,zephyr,1.0,25,1.2514975437649194,-0.04080396152658678,0.6478010480183254,0.494117345963368
equities_19270531_n10,0,10,3,zephyr,2.0,25,1.2514975437649194,-0.04080396152658678,0.6478010480183254,0.494117345963368
equities_19270531_n20,0,20,6,pegasus,0.5,25,0.8751778086978579,-0.02477072408973358,0.6041285639089174,0.448989534664086
equities_19270531_n20,0,20,6,pegasus,1.0,25,0.8751778086978579,-0.02477072408973358,0.6041285639089174,0.448989534664086
equities_19270531_n20,0,20,6,pegasus,2.0,25,0.8751778086978579,-0.02477072408973358,0.6041285639089174,0.448989534664086
equities_19270531_n20,0,20,6,zephyr,0.5,25,-0.7553360544292557,-0.029256675944350444,0.4068714906841943,0.2607182592658727
equities_19270531_n20,0,20,6,zephyr,1.0,25,-0.7553360544292557,-0.029256675944350444,0.4068714906841943,0.2607182592658727
equities_19270531_n20,0,20,6,zephyr,2.0,25,-0.7553360544292557,-0.029256675944350444,0.4068714906841943,0.2607182592658727
equities_19270531_n30,0,30,9,pegasus,0.5,25,1.1218262145041933,-0.0247061006752416,0.6353218796890512,0.47807164953779224
equities_19270531_n30,0,30,9,pegasus,1.0,25,1.1218262145041933,-0.0247061006752416,0.6353218796890512,0.47807164953779224
equities_19270531_n30,0,30,9,pegasus,2.0,25,-1.0817173724285003,-0.023191194302152485,0.36613921078655,0.22564394692841322
equities_19270531_n30,0,30,9,zephyr,0.5,25,-2.3447122108609517,-0.03197426280966257,0.22263326305447673,0.11769350283779889
equities_19270531_n30,0,30,9,zephyr,1.0,25,-2.3447122108609517,-0.03197426280966257,0.22263326305447673,0.11769350283779889
equities_19270531_n30,0,30,9,zephyr,2.0,25,-2.3447122108609517,-0.03197426280966257,0.22263326305447673,0.11769350283779889
equities_19511231_n10,1,10,3,pegasus,0.5,26,0.8090696511116523,-0.021865510784503293,0.5973242506175042,0.4405515628920691
equities_19511231_n10,1,10,3,pegasus,1.0,26,0.8090696511116523,-0.021865510784503293,0.5973242506175042,0.4405515628920691
equities_19511231_n10,1,10,3,pegasus,2.0,26,0.9763929550361536,-0.02087961546155545,0.6184898446407161,0.4601818506375789
equities_19511231_n10,1,10,3,zephyr,0.5,26,3.238560623281971,-0.021040204696481126,0.8240477045524778,0.7112995088900429
equities_19511231_n10,1,10,3,zephyr,1.0,26,3.238560623281971,-0.021040204696481126,0.8240477045524778,0.7112995088900429
equities_19511231_n10,1,10,3,zephyr,2.0,26,3.238560623281971,-0.021040204696481126,0.8240477045524778,0.7112995088900429
equities_19511231_n20,1,20,6,pegasus,0.5,26,4.1186617230127425,-0.012878184544424113,0.8876319903728943,0.7969557730081492
equities_19511231_n20,1,20,6,pegasus,1.0,26,4.1186617230127425,-0.012878184544424113,0.8876319903728943,0.7969557730081492
equities_19511231_n20,1,20,6,pegasus,2.0,26,-1.4264691115632597,-0.023715062366594104,0.32295580189729756,0.18991500182441073
equities_19511231_n20,1,20,6,zephyr,0.5,26,3.0061356572093962,-0.01580267179137633,0.8237805530483223,0.7011478329887539
equities_19511231_n20,1,20,6,zephyr,1.0,26,3.0061356572093962,-0.01580267179137633,0.8237805530483223,0.7011478329887539
equities_19511231_n20,1,20,6,zephyr,2.0,26,3.0061356572093962,-0.01580267179137633,0.8237805530483223,0.7011478329887539
equities_19511231_n30,1,30,9,pegasus,0.5,26,1.628686174148555,-0.016862671234567944,0.6872486129167601,0.5392144212022087
equities_19511231_n30,1,30,9,pegasus,1.0,26,2.3695968005651213,-0.0152195782613091,0.7604613139084717,0.6253040947017104
equities_19511231_n30,1,30,9,pegasus,2.0,26,2.3695968005651213,-0.0152195782613091,0.7604613139084717,0.6253040947017104
equities_19511231_n30,1,30,9,zephyr,0.5,26,2.2635517590316168,-0.012716825581817056,0.7482452462776094,0.6120744398510656
equities_19511231_n30,1,30,9,zephyr,1.0,26,2.2635517590316168,-0.012716825581817056,0.7482452462776094,0.6120744398510656
equities_19511231_n30,1,30,9,zephyr,2.0,26,2.2635517590316168,-0.012716825581817056,0.7482452462776094,0.6120744398510656
equities_19760831_n10,2,10,3,pegasus,0.5,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n10,2,10,3,pegasus,1.0,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n10,2,10,3,pegasus,2.0,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n10,2,10,3,zephyr,0.5,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n10,2,10,3,zephyr,1.0,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n10,2,10,3,zephyr,2.0,21,0.7149949977291327,-0.032246217237095684,0.5797395853799358,0.4345968600138286
equities_19760831_n20,2,20,6,pegasus,0.5,21,2.4621055846037145,-0.01986438104987053,0.7552058940352238,0.6278230588432768
equities_19760831_n20,2,20,6,pegasus,1.0,21,2.212986517940179,-0.022856131237479444,0.7316980233756667,0.6006013627439948
equities_19760831_n20,2,20,6,pegasus,2.0,21,2.212986517940179,-0.022856131237479444,0.7316980233756667,0.6006013627439948
equities_19760831_n20,2,20,6,zephyr,0.5,21,2.34924754581534,-0.021284368401304803,0.7434669995719598,0.614890881251289
equities_19760831_n20,2,20,6,zephyr,1.0,21,2.34924754581534,-0.021284368401304803,0.7434669995719598,0.614890881251289
equities_19760831_n20,2,20,6,zephyr,2.0,21,2.34924754581534,-0.021284368401304803,0.7434669995719598,0.614890881251289
equities_19760831_n30,2,30,9,pegasus,0.5,21,3.050519477904135,-0.021250393904781093,0.8062515273261902,0.6900018328430846
equities_19760831_n30,2,30,9,pegasus,1.0,21,3.1923539737995754,-0.016028427774551726,0.8187419387258259,0.7053088503872685
equities_19760831_n30,2,30,9,pegasus,2.0,21,2.904508922927848,-0.01903899657394747,0.792662258435189,0.6738487648625034
equities_19760831_n30,2,30,9,zephyr,0.5,21,1.0822511160555504,-0.025807164519590645,0.6221753887816365,0.4750211166165383
equities_19760831_n30,2,30,9,zephyr,1.0,21,1.0822511160555504,-0.025807164519590645,0.6221753887816365,0.4750211166165383
equities_19760831_n30,2,30,9,zephyr,2.0,21,1.0822511160555504,-0.025807164519590645,0.6221753887816365,0.4750211166165383
equities_20010430_n10,3,10,3,pegasus,0.5,22,-2.171830882115308,-0.08200794317874392,0.25771719368740287,0.14922733969507584
equities_20010430_n10,3,10,3,pegasus,1.0,22,-2.171830882115308,-0.08200794317874392,0.25771719368740287,0.14922733969507584
equities_20010430_n10,3,10,3,pegasus,2.0,22,-2.3606038692072873,-0.1200017994116309,0.231693275195418,0.12773806881485994
equities_20010430_n10,3,10,3,zephyr,0.5,22,-1.7181385532091125,-0.07466086714638265,0.3129018129978878,0.19581988086731184
equities_20010430_n10,3,10,3,zephyr,1.0,22,-1.7181385532091125,-0.07466086714638265,0.3129018129978878,0.19581988086731184
equities_20010430_n10,3,10,3,zephyr,2.0,22,-1.7181385532091125,-0.07466086714638265,0.3129018129978878,0.19581988086731184
equities_20010430_n20,3,20,6,pegasus,0.5,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,pegasus,1.0,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,pegasus,2.0,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,zephyr,0.5,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n20,3,20,6,zephyr,1.0,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n20,3,20,6,zephyr,2.0,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n30,3,30,9,pegasus,0.5,22,2.7366414531789105,-0.022002106658577898,0.7998664127556656,0.6705846456566322
equities_20010430_n30,3,30,9,pegasus,1.0,22,3.12412359618319,-0.019947059295631307,0.8393023280131846,0.718682072802233
equities_20010430_n30,3,30,9,pegasus,2.0,22,1.6857592372620005,-0.04414879567028249,0.6871836388394926,0.544431113794615
equities_20010430_n30,3,30,9,zephyr,0.5,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20010430_n30,3,30,9,zephyr,1.0,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20010430_n30,3,30,9,zephyr,2.0,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20251231_n10,4,10,3,pegasus,0.5,20,3.6688869159691246,-0.06061196845894836,0.8103206317234776,0.7148331347678185
equities_20251231_n10,4,10,3,pegasus,1.0,20,3.6688869159691246,-0.06061196845894836,0.8103206317234776,0.7148331347678185
equities_20251231_n10,4,10,3,pegasus,2.0,20,6.313507050025088,-0.06624030666666655,0.8893865220550494,0.8343163738423331
equities_20251231_n10,4,10,3,zephyr,0.5,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n10,4,10,3,zephyr,1.0,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n10,4,10,3,zephyr,2.0,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n20,4,20,6,pegasus,0.5,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,pegasus,1.0,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,pegasus,2.0,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,zephyr,0.5,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n20,4,20,6,zephyr,1.0,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n20,4,20,6,zephyr,2.0,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n30,4,30,9,pegasus,0.5,20,7.548261946966077,-0.018796334279901128,0.9341705783270098,0.8939696716959238
equities_20251231_n30,4,30,9,pegasus,1.0,20,7.548261946966077,-0.018796334279901128,0.9341705783270098,0.8939696716959238
equities_20251231_n30,4,30,9,pegasus,2.0,20,5.6274468108916365,-0.018755908422896157,0.9290032153996083,0.8705833558957685
equities_20251231_n30,4,30,9,zephyr,0.5,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
equities_20251231_n30,4,30,9,zephyr,1.0,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
equities_20251231_n30,4,30,9,zephyr,2.0,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
1over49_baseline_w0,0,49,49,BASELINE_1OVERN,nan,25,-1.2119523633495377,-0.02447596681898115,0.35227492696287416,0.35227492696287416
1over49_baseline_w1,1,49,49,BASELINE_1OVERN,nan,26,2.202641854282926,-0.011317610470524606,0.7420758794610103,0.7420758794610103
1over49_baseline_w2,2,49,49,BASELINE_1OVERN,nan,21,2.923178410996798,-0.02147185823501977,0.7983946385740004,0.7983946385740004
1over49_baseline_w3,3,49,49,BASELINE_1OVERN,nan,22,1.8508102615838078,-0.04248249707577974,0.7076824209009478,0.7076824209009478
1over49_baseline_w4,4,49,49,BASELINE_1OVERN,nan,20,5.34580231074574,-0.016081176576426597,0.9160412828052156,0.9160412828052156
